"artist","title","sales_price","sales_price_log","estimate_range","created","auction_location","surface","artist_seal","inscribed","signed","dated","titled","stamped","auction_year","auction_month","auction_weekday","canvas","oil","acrylic","board","paper","lacquer","masonite","panel","ink","wood"
"Le Pho","LE BAIGNADE (THE BATHING)",80060,11.2905316325466,34590,NA,"0",12675,"0","0","1","0","0","0",2019,4,"Monday",1,1,0,0,0,0,0,0,0,0
"Le Pho","UNE NATURE MORTE AUX FLEURS (A STILL LIFE WITH FLOWERS)",16010,9.68096880599076,2560,NA,"0",1557.75,"0","0","1","0","0","0",2019,4,"Monday",1,1,0,0,0,0,0,0,0,0
"Le Pho","DELPHINIUMS",96080,11.4729364567539,34590,NA,"0",12723.75,"0","0","1","0","0","0",2019,4,"Monday",1,1,0,0,0,0,0,0,0,0
"Van Ha Tran","STORK AND BAMBOO",8010,8.9884460400624,3840,NA,"0",7472.5,"0","0","1","0","0","0",2019,4,"Monday",0,0,0,0,0,1,0,0,0,1
"Truong Van Thanh","GOLDFISH",22420,10.0177086966262,3840,"1953","0",6000,"0","0","1","1","0","0",2019,4,"Monday",0,0,0,1,0,1,0,0,0,0
"Alix Ayme","FEMMES DANS LA FORÊT (WOMEN IN THE FOREST)",152120,11.9324249620422,14100,NA,"0",30000,"0","0","1","0","0","0",2019,4,"Monday",0,0,0,0,0,1,0,0,0,1
"Alix Ayme","LISEUSE À CÔTÉ DE L'ANNAMITE (GIRL READING NEXT TO THE ANNAMITE MOUNTAINS)",32030,10.3744282426032,12810,"c. 1930-40","0",3220,"0","0","1","0","0","0",2019,4,"Monday",0,0,0,0,0,1,0,1,0,1
"Henri Mege","COUNTRY LANDSCAPE NEAR HUE",15210,9.62970838525334,3840,"c. 1950","0",4416.5,"0","0","1","0","0","0",2019,4,"Monday",1,1,0,0,0,0,0,0,0,0
"Pham Hau","WATER POND IN A VIETNAMESE VILLAGE SCENE",25620,10.1511285754507,7690,"c. 1939-40's","0",1081,"0","0","0","0","0","1",2019,4,"Monday",0,0,0,0,0,1,0,0,0,1
"Pham Hau","L'ENTRÉE DU VILLAGE (THE GATE OF THE VILLAGE)",76860,11.2497408641188,17940,NA,"0",6561,"0","0","1","0","0","0",2019,4,"Monday",0,0,0,0,0,1,0,0,0,1
"Nam Nguyen","STILL LIFE",112090,11.6270573990151,6410,"1922","0",2106,"0","0","1","0","0","0",2019,4,"Monday",1,1,0,0,0,0,0,0,0,0
"Vu Cao Dam","MATERNITÉ (MATERNITY)",44840,10.7108558771861,14100,"1957","0",2117.5,"0","0","1","1","0","0",2019,4,"Monday",0,1,0,0,0,0,0,1,0,0
"Le Pho","LE VIEUX PÊCHER (THE OLD PEACH TREE)",432340,12.976967594712,38430,"1956","0",9800,"0","0","1","0","0","0",2019,4,"Monday",1,1,0,0,0,0,0,0,0,0
"Le Pho","CUEILLIR DES FLEURS (PICKING FLOWERS)",112090,11.6270573990151,25620,NA,"0",16774.25,"0","0","1","0","0","0",2019,4,"Monday",1,1,0,0,0,0,0,0,0,0
"Le Pho","LA TÉTÉE PASTORALE (PASTORAL FEEDING)",128100,11.7605664878848,25620,NA,"0",12838,"0","0","1","0","0","0",2019,4,"Monday",1,1,0,0,0,0,0,0,0,0
"Joseph Inguimberty","LES TROIS CITRONS (THE THREE LEMONS)",80060,11.2905316325466,14100,NA,"0",4380,"0","0","1","0","0","0",2019,4,"Monday",1,1,0,0,0,0,0,0,0,0
"Le Pho","LES ROSES TRÉMIÈRES ET DAHLIAS",32030,10.3744282426032,6410,NA,"0",1219,"0","0","1","0","0","0",2019,4,"Monday",0,1,0,1,0,0,0,0,0,0
