,sales_price,estimate_range,auction_location,surface,auction_year,auction_month,auction_weekday
385,744900,128100.0,0,31428.0,2019,10,Sunday
386,4787740,1024800.0,0,6643.0,2019,10,Sunday
387,668040,25620.0,0,32659.44,2019,10,Sunday
388,7414040,2562000.0,0,66978.0,2019,10,Sunday
389,480380,256200.0,0,16811.01,2019,10,Sunday
390,3557980,896700.0,0,6615.7,2019,10,Sunday
391,929370,256200.0,0,12000.0,2019,10,Sunday
392,4019140,2562000.0,0,33782.44,2019,10,Sunday
393,913990,256200.0,0,22220.19,2019,10,Sunday
394,913990,204960.0,0,1503.6,2019,10,Sunday
395,606550,204960.0,0,24963.0,2019,10,Sunday
396,2251360,512400.0,0,9266.2,2019,10,Sunday
397,883250,256200.0,0,4450.68,2019,10,Sunday
398,512400,256200.0,0,21060.0,2019,10,Sunday
399,1713340,256200.0,0,20800.0,2019,10,Sunday
400,714160,256200.0,0,21127.95,2019,10,Sunday
401,1713340,256200.0,0,41128.95,2019,10,Sunday
402,192150,89670.0,0,69888.0,2019,10,Sunday
403,1405900,256200.0,0,120000.0,2019,10,Sunday
404,1098460,256200.0,0,30600.0,2019,10,Sunday
405,8010,2560.0,0,2457.0,2019,10,Sunday
406,6410,1153.0,0,28152.0,2019,10,Sunday
407,3522,1281.0,0,690.0,2019,10,Sunday
408,41630,14100.0,0,44652.0,2019,10,Sunday
409,19220,2560.0,0,11163.0,2019,10,Sunday
410,19220,3840.0,0,38247.0,2019,10,Sunday
411,48040,25620.0,0,24920.0,2019,10,Sunday
412,16010,2560.0,0,23332.5,2019,10,Sunday
413,10410,3840.0,0,30000.0,2019,10,Sunday
414,20820,14100.0,0,3500.0,2019,10,Sunday
415,35230,12810.0,0,20898.0,2019,10,Sunday
416,88070,19210.0,0,18742.5,2019,10,Sunday
417,6410,2570.0,0,45369.0,2019,10,Sunday
418,9610,2570.0,0,30000.0,2019,10,Sunday
419,176140,12810.0,0,11224.0,2019,10,Sunday
420,6730,2570.0,0,27999.0,2019,10,Sunday
421,24020,7690.0,0,18605.0,2019,10,Sunday
422,20820,3840.0,0,30000.0,2019,10,Sunday
423,35230,20500.0,0,23800.0,2019,10,Sunday
424,14410,3840.0,0,820.75,2019,10,Sunday
425,32030,14100.0,0,3282.5,2019,10,Sunday
426,30420,12810.0,0,1748.0,2019,10,Sunday
427,28820,8970.0,0,5520.0,2019,10,Sunday
428,41630,11530.0,0,10591.0,2019,10,Sunday
429,72060,14100.0,0,8100.0,2019,10,Sunday
430,76860,12810.0,0,4065.25,2019,10,Sunday
